评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
84800,1276,俞欢军,2018-07-14 01:57:26,4,7,3,感天动地好老师！上课如果要点名都会提前在QQ群发公告说“明天上课点名学号xxx”，第一次课上直接跟我们说，如果同一时间有更好的老师在上C，他允许我们去别的老师那听；QQ群答疑可以做到秒回，有问必答，有共性的问题也会发公告提醒大家；虽然有时候确实讲得不太清楚，但他自己都会意识到，一遍遍反复解释超耐心；作业贼少，别人都是PTA上的题目全做，我们班是挑几题来做；要是作业一不小心过了截止时间，期末还可以以复习为借口让他再放出来，悄悄补上嘻嘻嘻；老师人特别可爱，有些时候会突然幽默一把，看得出来平时是非常有趣和我们很有共同语言的老师；期末调分了！我看自己理论成绩55都没到，以为要挂科，结果居然3.6！！（我猜是因为实验满分，加上平时所有作业，包括他没有布置的，只要PTA上有，我全给做了，所以分调高了很多吧）感动得泪流满面！QQ群里都在跪谢老师。。。（第一次来查老师评价，因为老师人实在太好了呜呜）
87525,1276,俞欢军,2018-10-01 10:31:35,1,2,1,嘤嘤嘤
89221,1276,俞欢军,2018-11-17 04:02:35,7,11,4,真的全凭自学，上课不知道他在讲什么
92671,1276,俞欢军,2019-01-03 12:42:13,3,5,2,要死了，真的不是大佬的话别选
99834,1276,俞欢军,2019-01-25 08:12:10,9,11,2,水平有限是真的，人还蛮好的，经常在群里或者上机时现场会指导问题，嗯(ಥ_ಥ)助教是什么?我们没有助教。作业一般很水，最后几星期都没有作业了，但是如果自己不找题做会很生疏的，期末考试基本全靠自学。自己就是偷懒没有找题练习快挂了，明年重修做人。
100608,1276,俞欢军,2019-01-26 11:37:41,1,4,3,10分好评 在这里发自内心的感谢这位和蔼的老师 真的很关心学生 学生有什么问题困难都可以找他 老师都会很耐心的解答 在我期末考试后感觉自己有可能挂科时 老师仔细的询问我情况 并关心我 真的是一个良心好老师?
100947,1276,俞欢军,2019-01-27 07:35:47,0,5,5,吹爆，老师人超好。胖胖的大叔很耐心，感觉特别有爱。没上过其他老师的课不知道水平相比怎么样，但俞老师真的超负责，周一的课周日会发完整的课件，超级认真准备的那种，对我这种菜鸡很友好，感觉在老师的课上收获很多。出成绩后，大家在群里刷感谢，老师突然来了句:感谢同学，同学自习辛苦了。哈哈哈，超级妙，评分为什么不是9.9呢?
100954,1276,俞欢军,2019-03-01 06:05:51,-1,3,4,老师人挺好的，平时分都给满了……部分被卡绩的同学（比如卡4.2）可能是因为按照正常平时分给是3.9，给满了也没能上4.5的情况啦。老师确实水平有限，但是老师人超棒的！谢谢同学们自习辛苦了也超可爱的哈哈哈
103562,1276,俞欢军,2019-03-01 06:03:43,-2,5,7,说真的，\n\n如果对C没有基础不要选，\n\n真的，\n\n第一节课就扯那么远，完全不按课本讲\n\n上课前面dl还呼应，\n\n抢个前排看旁边的人都ssfd。\n\n别选，这个老师是c中挂科率最高的
103927,1276,俞欢军,2019-03-07 09:19:54,1,3,2,我想告诉各位，c程想学好自己靠自己去摸索，我从连编译器都不知道的小白，到4.2的绩点，我付出了很多
106728,1276,俞欢军,2019-04-29 06:22:56,1,3,2,宽松，做题靠自己吧。但是老师真实BUG调试员? ，经常讲编写不规范的后果。
109475,1276,俞欢军,2019-06-15 14:04:15,10,10,0,老师是真的好老师，不过确实讲得不太好……建议大家平时多写写代码（不是多看看书，是多写写代码）\n\n但是能保证平时分给得足够高了。分享一个小事：在2018秋冬学期后期，有一个叫“夜月明”（后来发现不是我们班的）的在群里搞事说要公布一下平时分，老师把他移除群之后，跟大家说平时分公布了就不能再调高了，不能和大家说，这样大家就不会被卡绩了……\n\n总之老师真的很可爱！
112786,1276,俞欢军,2019-07-05 03:10:30,1,1,0,求求老师给过呜呜呜
112984,1276,俞欢军,2019-07-05 17:15:24,14,18,4,老师上课水平有限，而且某几次作业量巨多无比，但是熬过来以后结果总是好的！C程真的靠自己！外加群里有dl全程答疑带飞全场?
113029,1276,俞欢军,2019-07-05 18:05:03,3,3,0,老师很和蔼，上课到重点会提醒你听他讲提醒你看ppt，老师讲的内容的话，我感觉对我来讲是一些比较零碎的知识点，如果跟好老师的脚步还是能收获些东西的，不过c程是真的在自己的学习的，而且老师答疑很迅速很和蔼很耐心，不知道是不是助教？同学，答疑也很耐心很负责任！最后老师给分超级好呀！！
113038,1276,俞欢军,2019-07-05 19:17:07,7,7,0,呜呜呜，我以为自己理论考炸惨，上机做对一道题必挂了，我都准备好去补考了。。。结果老师拯救了我，居然还有68，天哪，我惭愧，以前老是说老师讲的不好，，Ծ^Ծ，，我真的错了? ，凭他最后让我不挂我都要给10分，跪谢老师不挂之恩(≧∇≦)真的感谢
113094,1276,俞欢军,2019-07-05 23:16:45,0,1,1,被老师捞起来了。。。
113128,1276,俞欢军,2019-07-06 00:02:05,0,0,0,谢谢老师捞理论考炸的我...
113179,1276,俞欢军,2019-07-06 01:12:28,0,0,0,感谢老师
113299,1276,俞欢军,2019-07-06 04:51:56,0,1,1,本来以为要挂定了，结果被捞上岸惹555浓浓师生情\n\nps.大学学习还是得靠自己，自己不学，谁也救不了你
121700,1276,俞欢军,2020-01-21 02:23:25,12,12,0,俞老师是真滴好，上课点名提前在群里通知，绝不会故意查人，作业贼少，但是做做应付期末考试还是足够。（但是水平限制，可能对以后需要修c大程的同学不利）\n\n总之，俞老师极大地锻炼了同学们的自学能力（手动🐶）。
124020,1276,俞欢军,2020-06-20 15:02:57,3,10,7,选你选了个寂寞？？？？wjj讲课你干啥？体验极差
125655,1276,俞欢军,2020-09-12 14:56:53,2,6,4,为什么不自己上课！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！
126049,1276,俞欢军,2020-09-17 02:56:44,7,7,0,打分极极极好
126050,1276,俞欢军,2020-09-17 03:10:23,5,5,0,老师人巨好，大作做的可以但是理论裂开，多亏老师捞，10分奉上
126051,1276,俞欢军,2020-09-17 03:14:00,7,7,0,室友被捞起来了，真不错，他可以继续做他的苏联坦克爹
126075,1276,俞欢军,2020-09-17 06:06:16,5,5,0,9月17日，大雨，心情晴，谢谢老师海底捞！
126469,1276,俞欢军,2020-09-28 01:46:44,2,3,1,可爱的老师
132047,1276,俞欢军,2021-01-30 04:15:04,11,11,0,2020秋冬，C小程\n\n期末理论炸了，本来对绩点不抱啥希望了，结果没想到，被老师捞起来了(我猜，老师平时分给的相当好)，最后绩点还挺好。真心感谢老师~
139041,1276,俞欢军,2021-07-12 08:53:49,5,5,0,老师永远的神 真海底捞 我爱他！
139043,1276,俞欢军,2021-07-12 08:54:06,3,3,0,真的海底捞，老师非常好。究极善良以为要挂了还能上三。
139249,1276,俞欢军,2021-07-13 18:35:06,1,2,1,海底捞呜呜呜
145453,1276,俞欢军,2021-12-29 23:52:34,4,4,0,最让我感动的是期末考前老师关心我们的举动。虽然还不知道绩点怎样，但我先打满分了。
146070,1276,俞欢军,2022-01-05 10:54:08,8,9,1,现在回想起来，发现俞老师是真的很关心学生。（虽然他课讲得不是很清楚，但是俞老师还是很努力给我们讲课的），平时问问题基本都是秒回的。C程考完，看着俞老师的笑脸，我不禁有些后悔这么好的老师，以前为什么没有好好听他的课。能选上俞老师的C程课是我的荣幸。还有，助教小姐姐yyds。
148849,1276,俞欢军,2022-01-13 17:29:25,5,5,0,我只能给满分了 俞老师实在太好，像一位慈父一般关怀着我们
149329,1276,俞欢军,2022-01-15 05:53:52,4,4,0,俞老师超级好！\n\n我补选申请了免听通过以后，问问题老师经常非常耐心的回答，而且还给了我很多学业上的帮助！
159831,1276,俞欢军,2022-09-05 05:15:14,1,1,0,好老师，非常推荐
160385,1276,俞欢军,2022-09-21 03:45:06,3,3,0,不要问我可以不可以，你想不来就可以不来！爱了
163214,1276,俞欢军,2022-12-10 03:20:58,5,5,0,讲课不说很好但绝对不烂。人挺和善的，可以正视不同水平学生的需求，允许你不来上课。每次上课如果点名会提前告知。爱死了！10分
165812,1276,俞欢军,2023-01-10 01:05:38,4,4,0,很棒的老师哦
165841,1276,俞欢军,2023-01-10 05:23:58,4,4,0,超级超级棒的大叔！
165895,1276,俞欢军,2023-01-10 08:52:10,4,4,0,俞老师人真的超级好，点名会提前通知。虽然上课有时候会讲错，但是还是有许许多多重要有趣的知识。考试前还会在群里发一些坑点，真的超级好。点名也会提前通知。
165917,1276,俞欢军,2023-01-10 10:55:57,4,6,2,老师真的非常好！记得老师开学时说过如果你们考的不好，我也没面子之类的话。\n\n没听过其他老师的课，正如前面评论所说，老师的课就算不能算是顶尖水平，也绝对一点都不能说是差，认真听课消化完全足够，且讲的详细适合零基础的同学。\n\n今年期末考试理论比较难且实验第二题坑人，本以为要很低的绩点，结果却收获了比预期高了2-3档的绩点！另外金助教也很负责，问他问题都会及时回复。\n\n感谢俞老师和助教的辛苦付出！
