评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
136717,6195,徐杰,2021-06-23 10:55:11,6,8,2,老师人很温柔\n\n讲的内容也很有条理\n\n小组展示非答辩而是讨论\n\n期末开卷\n\n虽然还没有开始考试\n\n但我觉得就算我的绩点不好看也要给老师10分
139214,6195,徐杰,2021-07-13 09:10:37,0,1,1,男神老师，备课很认真，上课有条理，人也很温柔。上课有收获，小组作业内容也挺有意思的。成绩主要看小组展示内容和开卷考试。文科生没有被绩杀，最后4.2，谢谢老师啦！
156242,6195,徐杰,2022-06-18 12:43:12,1,1,0,老师的专业水平非常高！最后一节课小组展示时的点评非常精彩。最后分数不错，谢谢老师！
178898,6195,徐杰,2023-07-30 02:36:52,2,2,0,徐老师人很和蔼，看得出来也很有学术水平。\n\n人类工效学这门课的定位就是简单介绍一下这个方向，会讲学科思想、基本研究方法和一些模型。\n\n2023夏的评分标准：签到+发言50%，课程论文20%，项目大作业pre30%。大作业是对一个产品按照人类工效学的研究方法，提出一种改进的设计，课程论文也以描述大作业的原理为主。所以个人觉得任务量不算重。\n\n至于成绩，查老师的均绩不会骗人。如果像水通识绩点，最好想一想再选orz
191824,6195,徐杰,2024-05-01 01:43:49,1,1,0,每节课都过去点名 结课就需要一次小组ppt展示还有个人2000字的论文就可以了 最后绩点是4.5 谢谢老师
206842,9506,王治国,2024-12-18 02:05:58,4,4,0,发现王老师没评分 感觉王老师上课挺好 要是能少点英语就更好了（）
